"","Age","Gender","Stream","Internships","CGPA","Hostel","HistoryOfBacklogs","PlacedOrNot"
"2",21,"Female","Computer Science",0,7,1,1,1
"7",21,"Male","Computer Science",0,7,0,1,0
"11",22,"Male","Computer Science",1,7,0,0,0
"17",22,"Female","Computer Science",1,7,1,0,0
"19",21,"Male","Computer Science",1,7,0,0,0
"20",22,"Male","Computer Science",1,7,0,0,0
"56",21,"Male","Computer Science",1,7,0,0,1
"97",21,"Male","Computer Science",2,7,0,0,0
"101",23,"Male","Computer Science",0,7,0,0,1
"128",24,"Male","Computer Science",2,7,0,0,1
"150",24,"Male","Computer Science",1,7,0,0,1
"160",24,"Male","Computer Science",0,7,0,1,1
"187",21,"Female","Computer Science",1,7,1,0,0
"199",22,"Female","Computer Science",2,7,1,0,0
"201",21,"Male","Computer Science",2,7,0,0,1
"205",21,"Female","Computer Science",1,7,1,0,0
"224",22,"Male","Computer Science",0,7,0,0,0
"227",21,"Female","Computer Science",1,7,1,0,0
"228",21,"Male","Computer Science",2,7,0,0,1
"237",22,"Male","Computer Science",1,7,0,0,0
"261",22,"Female","Computer Science",1,7,1,0,0
"279",21,"Male","Computer Science",1,7,0,0,0
"291",22,"Male","Computer Science",0,7,0,0,0
"298",22,"Male","Computer Science",2,7,0,0,1
"311",21,"Male","Computer Science",1,7,0,0,1
"339",22,"Female","Computer Science",2,7,1,0,1
"372",21,"Female","Computer Science",1,7,1,0,0
"380",22,"Male","Computer Science",0,7,0,1,0
"381",21,"Male","Computer Science",0,7,0,0,0
"424",21,"Male","Computer Science",1,7,0,0,0
"430",21,"Male","Computer Science",0,7,0,0,0
"440",22,"Male","Computer Science",0,7,0,1,0
"444",21,"Male","Computer Science",0,7,0,1,0
"445",21,"Male","Computer Science",0,7,0,1,0
"450",21,"Male","Computer Science",2,7,0,0,1
"462",22,"Male","Computer Science",0,7,0,1,1
"463",21,"Male","Computer Science",0,7,0,0,1
"498",21,"Male","Computer Science",0,7,0,0,1
"502",21,"Male","Computer Science",0,7,0,0,0
"503",22,"Male","Computer Science",1,7,0,0,1
"516",22,"Female","Computer Science",1,7,1,0,0
"536",21,"Male","Computer Science",0,7,0,1,0
"540",21,"Male","Computer Science",2,7,0,0,1
"549",22,"Female","Computer Science",1,7,1,0,0
"562",21,"Male","Computer Science",1,7,0,0,0
"566",21,"Male","Computer Science",1,7,0,0,0
"567",21,"Male","Computer Science",2,7,0,0,1
"568",21,"Male","Computer Science",0,7,0,0,0
"574",21,"Male","Computer Science",0,7,0,0,0
"583",21,"Male","Computer Science",1,7,0,0,0
"585",21,"Male","Computer Science",2,7,0,1,0
"587",21,"Male","Computer Science",1,7,0,0,0
"589",21,"Male","Computer Science",0,7,0,1,0
"603",21,"Male","Computer Science",2,7,0,0,1
"605",21,"Male","Computer Science",2,7,0,0,1
"607",22,"Male","Computer Science",2,7,0,0,1
"611",21,"Male","Computer Science",1,7,0,0,0
"634",22,"Male","Computer Science",2,7,0,0,0
"639",22,"Male","Computer Science",1,7,0,0,1
"662",22,"Male","Computer Science",0,7,0,1,0
"668",22,"Male","Computer Science",2,7,0,0,0
"673",21,"Male","Computer Science",1,7,0,0,0
"678",22,"Male","Computer Science",0,7,0,0,0
"692",21,"Male","Computer Science",1,7,0,0,0
"701",25,"Male","Computer Science",0,7,0,0,0
"721",24,"Male","Computer Science",0,7,0,1,1
"731",24,"Male","Computer Science",1,7,0,0,1
"742",26,"Male","Computer Science",3,7,0,0,1
"749",24,"Male","Computer Science",1,7,0,0,1
"802",21,"Male","Computer Science",1,7,0,0,1
"809",22,"Male","Computer Science",1,7,0,0,1
"842",22,"Male","Computer Science",1,7,0,0,1
"846",21,"Male","Computer Science",0,7,0,0,1
"855",22,"Male","Computer Science",1,7,0,0,1
"857",21,"Male","Computer Science",2,7,0,0,1
"877",22,"Male","Computer Science",1,7,0,0,1
"893",21,"Female","Computer Science",1,7,1,0,1
"923",21,"Male","Computer Science",0,7,0,0,1
"934",22,"Male","Computer Science",1,7,0,0,1
"936",22,"Male","Computer Science",1,7,0,0,1
"938",22,"Female","Computer Science",1,7,1,0,0
"947",22,"Male","Computer Science",2,7,0,0,1
"950",22,"Male","Computer Science",0,7,0,0,1
"959",22,"Male","Computer Science",1,7,0,0,1
"960",21,"Male","Computer Science",1,7,0,0,1
"974",22,"Male","Computer Science",1,7,0,0,1
"978",21,"Female","Computer Science",0,7,1,0,0
"989",22,"Female","Computer Science",2,7,1,0,1
"992",22,"Male","Computer Science",2,7,0,0,1
"994",22,"Male","Computer Science",1,7,0,0,1
"1004",22,"Male","Computer Science",1,7,0,0,1
"1032",22,"Male","Computer Science",2,7,0,0,1
"1036",22,"Male","Computer Science",1,7,0,0,1
"1038",21,"Male","Computer Science",2,7,0,0,1
"1046",22,"Male","Computer Science",2,7,0,0,0
"1049",21,"Male","Computer Science",2,7,0,0,1
"1062",22,"Male","Computer Science",1,7,0,0,0
"1077",21,"Female","Computer Science",2,7,1,1,0
"1100",22,"Female","Computer Science",1,7,1,0,0
"1108",22,"Male","Computer Science",1,7,0,1,0
"1109",21,"Female","Computer Science",2,7,1,0,1
"1140",22,"Male","Computer Science",2,7,0,1,0
"1197",21,"Male","Computer Science",1,7,0,0,0
"1250",21,"Male","Computer Science",0,7,0,1,0
"1261",22,"Male","Computer Science",0,7,0,1,0
"1267",22,"Female","Computer Science",1,7,1,0,0
"1295",22,"Male","Computer Science",0,7,0,0,0
"1305",26,"Female","Computer Science",0,7,1,0,0
"1306",26,"Male","Computer Science",1,7,0,0,1
"1309",24,"Female","Computer Science",1,7,0,0,0
"1312",26,"Male","Computer Science",1,7,0,0,0
"1326",25,"Male","Computer Science",0,7,0,0,0
"1328",26,"Male","Computer Science",1,7,0,0,0
"1331",25,"Female","Computer Science",0,7,1,0,0
"1335",25,"Female","Computer Science",1,7,1,0,1
"1337",26,"Female","Computer Science",0,7,1,0,1
"1346",25,"Male","Computer Science",1,7,0,0,1
"1347",26,"Male","Computer Science",1,7,0,0,1
"1348",25,"Male","Computer Science",2,7,0,1,1
"1349",25,"Male","Computer Science",2,7,0,1,1
"1353",26,"Male","Computer Science",1,7,0,0,1
"1355",24,"Male","Computer Science",1,7,0,0,1
"1363",22,"Male","Computer Science",1,7,0,0,0
"1366",22,"Male","Computer Science",1,7,0,0,0
"1383",21,"Male","Computer Science",1,7,0,0,0
"1424",22,"Male","Computer Science",1,7,0,0,0
"1427",21,"Male","Computer Science",0,7,0,1,0
"1434",22,"Male","Computer Science",2,7,0,0,0
"1446",21,"Male","Computer Science",0,7,0,1,0
"1459",21,"Male","Computer Science",0,7,0,0,0
"1480",21,"Male","Computer Science",2,7,0,0,1
"1492",21,"Male","Computer Science",1,7,0,0,0
"1494",21,"Male","Computer Science",0,7,0,0,0
"1499",21,"Female","Computer Science",1,7,1,0,0
"1504",24,"Male","Computer Science",1,7,0,0,1
"1505",24,"Male","Computer Science",1,7,0,0,1
"1506",24,"Male","Computer Science",1,7,0,0,1
"1510",21,"Male","Computer Science",1,7,0,0,1
"1513",23,"Male","Computer Science",1,7,0,0,1
"1515",22,"Female","Computer Science",2,7,1,1,1
"1535",23,"Male","Computer Science",0,7,0,0,0
"1538",20,"Female","Computer Science",1,7,1,0,1
